mode,seed,frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
gather-robust,4093,80,3191,0.6240013980333647,0.04155261442065239,-0.0021841146517544985,0.0,0.0
gather-robust,8089,80,3191,0.5180363196988393,0.04178598150610924,0.0013217441737651825,0.0,0.0
scatter-only,101,80,3191,0.9347228852922547,0.10119257867336273,-0.0011720897164195776,0.0,0.0
scatter-only,1009,80,3191,0.8789677628396646,0.09712467342615128,-0.0004913303419016302,0.0,0.0
scatter-only,2027,80,3191,0.9751648403570659,0.10081835091114044,0.003327367827296257,0.0,0.0
scatter-only,4093,80,3191,0.8712502830807862,0.09983523190021515,-0.0018262941157445312,0.0,0.0
scatter-only,8089,80,3191,0.9201178182227194,0.1012418121099472,0.005801353603601456,0.0,0.0
scatter-backup,101,80,3191,0.5596662546576623,0.05342572182416916,-0.003940795082598925,0.0,0.0
scatter-backup,1009,80,3191,0.5728194781002663,0.05422818288207054,0.0017755060689523816,0.0,0.0
scatter-backup,2027,80,3191,0.5605424520662933,0.052173223346471786,-0.00023148403852246702,0.0,0.0
scatter-backup,4093,80,3191,0.5637589678169925,0.05553049594163895,0.0014885368291288614,0.0,0.0
scatter-backup,8089,80,3191,0.58376727417572,0.05613143742084503,-0.0017547036986798048,0.0,0.0
gather-robust,101,89,3567,0.4625039645935521,0.040978848934173584,-0.00232174270786345,0.0,0.0
gather-robust,1009,89,3567,0.4770062869612224,0.04163229838013649,0.0015610834816470742,0.0,0.0
gather-robust,2027,89,3567,1.4244886171593234,0.043968334794044495,0.01387346163392067,0.0,0.0
gather-robust,4093,89,3567,0.47983879580635924,0.04053184762597084,-0.0010984368855133653,0.0,0.0
gather-robust,8089,89,3567,0.532365965444084,0.04230226203799248,-0.0011439083609730005,0.0,0.0
scatter-only,101,89,3567,0.947428564114363,0.09777197986841202,0.0004839401226490736,0.0,0.0
scatter-only,1009,89,3567,0.8574177064493413,0.09573579579591751,-0.007699401117861271,0.0,0.0
scatter-only,2027,89,3567,0.9678463954044619,0.09749037772417068,0.001528156572021544,0.0,0.0
scatter-only,4093,89,3567,0.8934329823241324,0.0991002693772316,-0.0016646943986415863,0.0,0.0
scatter-only,8089,89,3567,0.9284809388211067,0.0997418761253357,0.001708191353827715,0.0,0.0
scatter-backup,101,89,3567,1.5292811409677707,0.05544239655137062,0.005138156469911337,0.0,0.0
scatter-backup,1009,89,3567,0.5940924740929016,0.05437777563929558,-7.329523214139044e-05,0.0,0.0
scatter-backup,2027,89,3567,0.5888197008378361,0.053652822971343994,-0.0022315350361168385,0.0,0.0
scatter-backup,4093,89,3567,0.5266417186583189,0.05471748113632202,-0.004703591112047434,0.0,0.0
scatter-backup,8089,89,3567,0.5287745077167579,0.05319375544786453,-0.0056258211843669415,0.0,0.0
